VideoID,Title,PublishedDate,Channel,SearchQuery
m2RY3WTNP1o,AI Is Coming for Your Job Sooner Than You Think | Vantage with Palki Sharma | N18G,2025-05-30 17:50:01+00:00,Firstpost,AI Jobs
whkge1rEamU,AI’s Hottest New Job Pays Up to $250K a Year. So I Applied. | WSJ,2023-11-29 15:00:59+00:00,The Wall Street Journal,AI Jobs
jC67AjHlIgw,Tech CEO: mass elimination of jobs possible because of AI,2025-05-31 15:46:41+00:00,ABC News,AI Jobs
CJHPIYvhrK0,AI is replacing these jobs 😱 #ai #jobs,2025-02-03 13:38:42+00:00,Nishant Jindal [IIT Delhi],AI Jobs
VVBAy1cPACw,Which jobs will AI replace first? #openai #samaltman #ai,2023-02-28 17:17:18+00:00,Daring Creative,AI Jobs
YUWDzerHVjE,Will AI Replace Jobs Elon Musk&#39;s Take,2024-07-20 16:00:26+00:00,AI Insights,AI Jobs
4UeLTsgdZc8,🔥 Salary of an AI Engineer | AI Engineer Salary |   #shorts  #simplilearn,2025-03-18 15:49:30+00:00,Simplilearn,AI Jobs
JdwF-poYdOQ,AI will take your job. — Sam Altman,2023-01-06 19:40:11+00:00,Immanuel,AI Jobs
Qpt76oVCZRg,Will AI Replace Your Job? The Shocking Truth About the Future of Work 🤖💼 #shorts #shortsfeed,2025-06-02 17:19:00+00:00,ChipTalk,AI Jobs
Gp99eWBvLHE,"🔥Salary of GenAI Engineer | Generative AI Jobs: Roles, Salaries, and Growth Potential 🚀💼 | #shorts",2024-09-17 13:45:24+00:00,Simplilearn,AI Jobs
